500 7
A	B	C	D	E	F	Class
ab	as	c	at	c	al	c2
ag	ad	m	m	av	p	c5
ah	ac	d	o	t	ag	c1
ab	d	c	at	c	al	c2
ah	ac	d	r	t	ag	c1
ab	af	c	at	c	al	c2
ab	aw	c	at	c	al	c2
af	an	z	aa	o	x	c3
af	an	z	aq	o	x	c3
aw	av	h	ab	p	aa	c4
aw	ak	h	ab	p	aa	c4
ag	ad	m	m	o	p	c5
af	an	z	au	o	x	c3
af	an	z	d	o	x	c3
aw	ab	h	ab	p	aa	c4
ah	ac	d	al	t	ag	c1
aw	an	h	ab	p	aa	c4
aw	aw	h	ab	p	aa	c4
ah	ac	d	ah	t	ag	c1
af	an	z	ar	o	x	c3
ab	ab	c	at	c	al	c2
ab	aw	c	at	c	al	c2
af	an	z	aa	o	x	c3
aw	o	h	ab	p	aa	c4
af	an	z	j	o	x	c3
af	an	z	u	o	x	c3
af	an	z	m	o	x	c3
af	an	z	z	o	x	c3
af	an	z	ar	o	x	c3
af	an	z	l	o	x	c3
aw	q	h	ab	p	aa	c4
ag	ad	m	m	a	p	c5
aw	ac	h	ab	p	aa	c4
ab	aw	c	at	c	al	c2
ab	aw	c	at	c	al	c2
ag	ad	m	m	am	p	c5
af	an	z	ag	o	x	c3
ag	ad	m	m	au	p	c5
ab	ai	c	at	c	al	c2
ab	ar	c	at	c	al	c2
ag	ad	m	m	ax	p	c5
ab	u	c	at	c	al	c2
af	an	z	g	o	x	c3
ab	j	c	at	c	al	c2
ab	m	c	at	c	al	c2
aw	aa	h	ab	p	aa	c4
ab	x	c	at	c	al	c2
aw	an	h	ab	p	aa	c4
aw	am	h	ab	p	aa	c4
ah	ac	d	u	t	ag	c1
ab	ap	c	at	c	al	c2
ab	r	c	at	c	al	c2
ag	ad	m	m	c	p	c5
af	an	z	c	o	x	c3
ah	ac	d	n	t	ag	c1
af	an	z	m	o	x	c3
ag	ad	m	m	aj	p	c5
ag	ad	m	m	t	p	c5
ah	ac	d	ak	t	ag	c1
aw	l	h	ab	p	aa	c4
ag	ad	m	m	z	p	c5
af	an	z	u	o	x	c3
aw	o	h	ab	p	aa	c4
af	an	z	ax	o	x	c3
aw	g	h	ab	p	aa	c4
af	an	z	f	o	x	c3
ab	o	c	at	c	al	c2
af	an	z	ae	o	x	c3
ag	ad	m	m	aq	p	c5
aw	y	h	ab	p	aa	c4
af	an	z	ao	o	x	c3
af	an	z	b	o	x	c3
ah	ac	d	y	t	ag	c1
aw	h	h	ab	p	aa	c4
ah	ac	d	aa	t	ag	c1
ah	ac	d	u	t	ag	c1
ah	ac	d	ah	t	ag	c1
ab	p	c	at	c	al	c2
af	an	z	ax	o	x	c3
af	an	z	r	o	x	c3
ab	z	c	at	c	al	c2
ah	ac	d	p	t	ag	c1
ag	ad	m	m	ai	p	c5
ah	ac	d	ax	t	ag	c1
ah	ac	d	k	t	ag	c1
ag	ad	m	m	ah	p	c5
ag	ad	m	m	at	p	c5
aw	an	h	ab	p	aa	c4
ah	ac	d	aa	t	ag	c1
af	an	z	av	o	x	c3
ag	ad	m	m	n	p	c5
af	an	z	i	o	x	c3
af	an	z	o	o	x	c3
aw	aj	h	ab	p	aa	c4
ab	aw	c	at	c	al	c2
ab	f	c	at	c	al	c2
af	an	z	ar	o	x	c3
aw	am	h	ab	p	aa	c4
ag	ad	m	m	a	p	c5
ag	ad	m	m	m	p	c5
ag	ad	m	m	s	p	c5
af	an	z	u	o	x	c3
aw	aa	h	ab	p	aa	c4
ah	ac	d	ab	t	ag	c1
ab	w	c	at	c	al	c2
af	an	z	aj	o	x	c3
af	an	z	ag	o	x	c3
ah	ac	d	n	t	ag	c1
ag	ad	m	m	am	p	c5
ab	w	c	at	c	al	c2
ag	ad	m	m	p	p	c5
ag	ad	m	m	v	p	c5
ah	ac	d	as	t	ag	c1
af	an	z	o	o	x	c3
ag	ad	m	m	aa	p	c5
af	an	z	ak	o	x	c3
af	an	z	al	o	x	c3
ab	ag	c	at	c	al	c2
ah	ac	d	ax	t	ag	c1
af	an	z	aa	o	x	c3
ah	ac	d	k	t	ag	c1
ab	am	c	at	c	al	c2
aw	aw	h	ab	p	aa	c4
aw	as	h	ab	p	aa	c4
ag	ad	m	m	ah	p	c5
af	an	z	l	o	x	c3
ag	ad	m	m	v	p	c5
af	an	z	af	o	x	c3
ah	ac	d	a	t	ag	c1
ag	ad	m	m	q	p	c5
af	an	z	ae	o	x	c3
ab	j	c	at	c	al	c2
af	an	z	w	o	x	c3
ag	ad	m	m	n	p	c5
ag	ad	m	m	h	p	c5
aw	y	h	ab	p	aa	c4
aw	l	h	ab	p	aa	c4
ah	ac	d	ad	t	ag	c1
ab	ag	c	at	c	al	c2
aw	ab	h	ab	p	aa	c4
ah	ac	d	h	t	ag	c1
ah	ac	d	n	t	ag	c1
ab	l	c	at	c	al	c2
aw	ao	h	ab	p	aa	c4
af	an	z	af	o	x	c3
af	an	z	o	o	x	c3
ah	ac	d	ah	t	ag	c1
ah	ac	d	ac	t	ag	c1
ag	ad	m	m	l	p	c5
aw	ai	h	ab	p	aa	c4
ah	ac	d	w	t	ag	c1
af	an	z	a	o	x	c3
af	an	z	aw	o	x	c3
aw	aw	h	ab	p	aa	c4
ah	ac	d	ax	t	ag	c1
ab	au	c	at	c	al	c2
aw	h	h	ab	p	aa	c4
ab	ar	c	at	c	al	c2
ag	ad	m	m	n	p	c5
ag	ad	m	m	i	p	c5
ag	ad	m	m	f	p	c5
af	an	z	ax	o	x	c3
ag	ad	m	m	at	p	c5
ab	aj	c	at	c	al	c2
ag	ad	m	m	x	p	c5
aw	n	h	ab	p	aa	c4
af	an	z	aj	o	x	c3
af	an	z	aa	o	x	c3
ah	ac	d	aa	t	ag	c1
aw	at	h	ab	p	aa	c4
ab	ak	c	at	c	al	c2
ah	ac	d	x	t	ag	c1
aw	ai	h	ab	p	aa	c4
aw	g	h	ab	p	aa	c4
ah	ac	d	ab	t	ag	c1
aw	g	h	ab	p	aa	c4
af	an	z	q	o	x	c3
ag	ad	m	m	ao	p	c5
ah	ac	d	s	t	ag	c1
ab	j	c	at	c	al	c2
ag	ad	m	m	aw	p	c5
ag	ad	m	m	ad	p	c5
ag	ad	m	m	ak	p	c5
aw	aw	h	ab	p	aa	c4
ab	aj	c	at	c	al	c2
ab	ac	c	at	c	al	c2
af	an	z	l	o	x	c3
af	an	z	q	o	x	c3
ag	ad	m	m	ab	p	c5
ah	ac	d	aj	t	ag	c1
aw	ab	h	ab	p	aa	c4
af	an	z	m	o	x	c3
aw	at	h	ab	p	aa	c4
ah	ac	d	am	t	ag	c1
ab	af	c	at	c	al	c2
ab	al	c	at	c	al	c2
af	an	z	d	o	x	c3
ag	ad	m	m	h	p	c5
aw	ae	h	ab	p	aa	c4
ah	ac	d	h	t	ag	c1
ab	am	c	at	c	al	c2
af	an	z	ar	o	x	c3
ab	j	c	at	c	al	c2
aw	h	h	ab	p	aa	c4
ah	ac	d	c	t	ag	c1
aw	u	h	ab	p	aa	c4
ab	z	c	at	c	al	c2
ah	ac	d	ah	t	ag	c1
ab	ao	c	at	c	al	c2
ah	ac	d	av	t	ag	c1
ah	ac	d	u	t	ag	c1
ah	ac	d	h	t	ag	c1
aw	ap	h	ab	p	aa	c4
ag	ad	m	m	ac	p	c5
ah	ac	d	at	t	ag	c1
af	an	z	r	o	x	c3
af	an	z	i	o	x	c3
af	an	z	ar	o	x	c3
ab	i	c	at	c	al	c2
ab	ax	c	at	c	al	c2
ah	ac	d	b	t	ag	c1
ah	ac	d	y	t	ag	c1
af	an	z	aj	o	x	c3
ab	aj	c	at	c	al	c2
ab	o	c	at	c	al	c2
ag	ad	m	m	x	p	c5
ah	ac	d	aa	t	ag	c1
ag	ad	m	m	l	p	c5
af	an	z	aa	o	x	c3
ab	r	c	at	c	al	c2
ag	ad	m	m	ad	p	c5
ag	ad	m	m	ak	p	c5
af	an	z	a	o	x	c3
ab	b	c	at	c	al	c2
ag	ad	m	m	c	p	c5
ab	af	c	at	c	al	c2
ah	ac	d	j	t	ag	c1
ah	ac	d	ah	t	ag	c1
ag	ad	m	m	s	p	c5
aw	aa	h	ab	p	aa	c4
ag	ad	m	m	q	p	c5
ab	w	c	at	c	al	c2
ag	ad	m	m	g	p	c5
ab	ag	c	at	c	al	c2
ab	j	c	at	c	al	c2
aw	z	h	ab	p	aa	c4
ag	ad	m	m	ao	p	c5
af	an	z	aa	o	x	c3
aw	c	h	ab	p	aa	c4
ag	ad	m	m	v	p	c5
ag	ad	m	m	x	p	c5
ab	f	c	at	c	al	c2
ah	ac	d	at	t	ag	c1
ah	ac	d	t	t	ag	c1
ag	ad	m	m	h	p	c5
ab	d	c	at	c	al	c2
aw	a	h	ab	p	aa	c4
ag	ad	m	m	ad	p	c5
ah	ac	d	ac	t	ag	c1
af	an	z	ad	o	x	c3
ah	ac	d	ax	t	ag	c1
ah	ac	d	z	t	ag	c1
af	an	z	ar	o	x	c3
aw	ab	h	ab	p	aa	c4
aw	e	h	ab	p	aa	c4
af	an	z	an	o	x	c3
ab	x	c	at	c	al	c2
aw	al	h	ab	p	aa	c4
aw	j	h	ab	p	aa	c4
ab	ar	c	at	c	al	c2
ag	ad	m	m	r	p	c5
af	an	z	m	o	x	c3
ab	r	c	at	c	al	c2
ag	ad	m	m	ar	p	c5
af	an	z	ad	o	x	c3
ag	ad	m	m	y	p	c5
af	an	z	a	o	x	c3
af	an	z	al	o	x	c3
aw	s	h	ab	p	aa	c4
af	an	z	ad	o	x	c3
ab	t	c	at	c	al	c2
ag	ad	m	m	b	p	c5
af	an	z	ag	o	x	c3
ab	a	c	at	c	al	c2
af	an	z	v	o	x	c3
ah	ac	d	p	t	ag	c1
af	an	z	g	o	x	c3
ag	ad	m	m	q	p	c5
ag	ad	m	m	z	p	c5
af	an	z	r	o	x	c3
ag	ad	m	m	ai	p	c5
ab	ak	c	at	c	al	c2
ah	ac	d	b	t	ag	c1
ab	ag	c	at	c	al	c2
af	an	z	y	o	x	c3
ah	ac	d	ai	t	ag	c1
aw	aw	h	ab	p	aa	c4
ag	ad	m	m	b	p	c5
ag	ad	m	m	x	p	c5
ag	ad	m	m	i	p	c5
ag	ad	m	m	g	p	c5
ah	ac	d	at	t	ag	c1
aw	as	h	ab	p	aa	c4
af	an	z	t	o	x	c3
ah	ac	d	x	t	ag	c1
ag	ad	m	m	j	p	c5
ah	ac	d	al	t	ag	c1
aw	ai	h	ab	p	aa	c4
af	an	z	m	o	x	c3
ah	ac	d	au	t	ag	c1
af	an	z	m	o	x	c3
ag	ad	m	m	k	p	c5
aw	l	h	ab	p	aa	c4
ah	ac	d	ak	t	ag	c1
ah	ac	d	j	t	ag	c1
af	an	z	w	o	x	c3
af	an	z	af	o	x	c3
ab	as	c	at	c	al	c2
ag	ad	m	m	an	p	c5
aw	ad	h	ab	p	aa	c4
aw	ao	h	ab	p	aa	c4
aw	e	h	ab	p	aa	c4
ag	ad	m	m	at	p	c5
ab	r	c	at	c	al	c2
ag	ad	m	m	w	p	c5
ag	ad	m	m	ad	p	c5
ah	ac	d	ac	t	ag	c1
af	an	z	x	o	x	c3
aw	av	h	ab	p	aa	c4
aw	ak	h	ab	p	aa	c4
ag	ad	m	m	ar	p	c5
ag	ad	m	m	ae	p	c5
af	an	z	z	o	x	c3
ah	ac	d	u	t	ag	c1
aw	e	h	ab	p	aa	c4
ag	ad	m	m	an	p	c5
ab	n	c	at	c	al	c2
ag	ad	m	m	aa	p	c5
ag	ad	m	m	u	p	c5
ag	ad	m	m	m	p	c5
ag	ad	m	m	ak	p	c5
aw	w	h	ab	p	aa	c4
ag	ad	m	m	ab	p	c5
ah	ac	d	al	t	ag	c1
ag	ad	m	m	ak	p	c5
aw	a	h	ab	p	aa	c4
af	an	z	m	o	x	c3
ab	ap	c	at	c	al	c2
af	an	z	ai	o	x	c3
ab	q	c	at	c	al	c2
ab	as	c	at	c	al	c2
ah	ac	d	s	t	ag	c1
ah	ac	d	m	t	ag	c1
aw	t	h	ab	p	aa	c4
ab	n	c	at	c	al	c2
ab	j	c	at	c	al	c2
ag	ad	m	m	f	p	c5
ag	ad	m	m	d	p	c5
aw	x	h	ab	p	aa	c4
af	an	z	d	o	x	c3
ab	ai	c	at	c	al	c2
ab	r	c	at	c	al	c2
aw	ax	h	ab	p	aa	c4
aw	af	h	ab	p	aa	c4
aw	aq	h	ab	p	aa	c4
aw	ab	h	ab	p	aa	c4
aw	b	h	ab	p	aa	c4
aw	aa	h	ab	p	aa	c4
af	an	z	j	o	x	c3
aw	ae	h	ab	p	aa	c4
ab	t	c	at	c	al	c2
aw	an	h	ab	p	aa	c4
ab	o	c	at	c	al	c2
af	an	z	ac	o	x	c3
ah	ac	d	z	t	ag	c1
ah	ac	d	am	t	ag	c1
ah	ac	d	an	t	ag	c1
af	an	z	a	o	x	c3
aw	ar	h	ab	p	aa	c4
ag	ad	m	m	ac	p	c5
ab	h	c	at	c	al	c2
ag	ad	m	m	aj	p	c5
af	an	z	s	o	x	c3
aw	x	h	ab	p	aa	c4
ah	ac	d	i	t	ag	c1
ah	ac	d	y	t	ag	c1
ag	ad	m	m	q	p	c5
ab	ah	c	at	c	al	c2
ah	ac	d	x	t	ag	c1
aw	h	h	ab	p	aa	c4
aw	g	h	ab	p	aa	c4
ab	p	c	at	c	al	c2
ab	v	c	at	c	al	c2
aw	al	h	ab	p	aa	c4
ab	au	c	at	c	al	c2
aw	as	h	ab	p	aa	c4
ag	ad	m	m	k	p	c5
ag	ad	m	m	af	p	c5
aw	am	h	ab	p	aa	c4
ab	e	c	at	c	al	c2
ag	ad	m	m	z	p	c5
ag	ad	m	m	aj	p	c5
ah	ac	d	av	t	ag	c1
ah	ac	d	e	t	ag	c1
ah	ac	d	al	t	ag	c1
af	an	z	j	o	x	c3
af	an	z	s	o	x	c3
ah	ac	d	aa	t	ag	c1
aw	ab	h	ab	p	aa	c4
ab	m	c	at	c	al	c2
af	an	z	ag	o	x	c3
af	an	z	v	o	x	c3
aw	ai	h	ab	p	aa	c4
af	an	z	o	o	x	c3
ab	p	c	at	c	al	c2
ah	ac	d	i	t	ag	c1
af	an	z	ac	o	x	c3
af	an	z	u	o	x	c3
ab	p	c	at	c	al	c2
af	an	z	q	o	x	c3
ab	al	c	at	c	al	c2
af	an	z	q	o	x	c3
ab	a	c	at	c	al	c2
ab	k	c	at	c	al	c2
ag	ad	m	m	k	p	c5
aw	z	h	ab	p	aa	c4
ah	ac	d	ax	t	ag	c1
aw	z	h	ab	p	aa	c4
aw	ad	h	ab	p	aa	c4
ab	b	c	at	c	al	c2
af	an	z	ao	o	x	c3
af	an	z	y	o	x	c3
ab	au	c	at	c	al	c2
ab	aa	c	at	c	al	c2
ab	au	c	at	c	al	c2
ag	ad	m	m	ah	p	c5
ab	ar	c	at	c	al	c2
ag	ad	m	m	ah	p	c5
aw	ap	h	ab	p	aa	c4
aw	ae	h	ab	p	aa	c4
aw	an	h	ab	p	aa	c4
af	an	z	af	o	x	c3
ab	ae	c	at	c	al	c2
ag	ad	m	m	c	p	c5
af	an	z	a	o	x	c3
aw	z	h	ab	p	aa	c4
aw	ak	h	ab	p	aa	c4
ah	ac	d	d	t	ag	c1
ag	ad	m	m	p	p	c5
ah	ac	d	x	t	ag	c1
af	an	z	an	o	x	c3
ab	e	c	at	c	al	c2
aw	ad	h	ab	p	aa	c4
ab	aw	c	at	c	al	c2
ab	aq	c	at	c	al	c2
af	an	z	o	o	x	c3
aw	d	h	ab	p	aa	c4
ah	ac	d	v	t	ag	c1
ab	ar	c	at	c	al	c2
aw	c	h	ab	p	aa	c4
aw	y	h	ab	p	aa	c4
ag	ad	m	m	l	p	c5
aw	ar	h	ab	p	aa	c4
aw	ah	h	ab	p	aa	c4
af	an	z	at	o	x	c3
aw	ae	h	ab	p	aa	c4
aw	ae	h	ab	p	aa	c4
ab	c	c	at	c	al	c2
ah	ac	d	au	t	ag	c1
ag	ad	m	m	af	p	c5
ah	ac	d	d	t	ag	c1
ah	ac	d	k	t	ag	c1
ag	ad	m	m	k	p	c5
aw	f	h	ab	p	aa	c4
aw	av	h	ab	p	aa	c4
ah	ac	d	i	t	ag	c1
af	an	z	e	o	x	c3
ah	ac	d	m	t	ag	c1
ah	ac	d	i	t	ag	c1
af	an	z	m	o	x	c3
ag	ad	m	m	ae	p	c5
ah	ac	d	x	t	ag	c1
ab	ao	c	at	c	al	c2
af	an	z	ar	o	x	c3
ab	aj	c	at	c	al	c2
af	an	z	e	o	x	c3
af	an	z	a	o	x	c3
aw	k	h	ab	p	aa	c4
ag	ad	m	m	aa	p	c5
ag	ad	m	m	r	p	c5
aw	r	h	ab	p	aa	c4
ah	ac	d	q	t	ag	c1
ab	ag	c	at	c	al	c2
af	an	z	w	o	x	c3
aw	l	h	ab	p	aa	c4
ah	ac	d	ad	t	ag	c1
ag	ad	m	m	p	p	c5
ab	e	c	at	c	al	c2
ah	ac	d	h	t	ag	c1
af	an	z	ac	o	x	c3

/**
(21.8%) c3 <- A=af & B=an & C=z & E=o & F=x
(20.4%) c4 <- A=aw & C=h & D=ab & E=p & F=aa
(19.8%) c2 <- A=ab & C=c & D=at & E=c & F=al
(18.0%) c1 <- A=ah & B=ac & C=d & E=t & F=ag
(20.0%) c5 <- A=ag & B=ad & C=m & D=m & F=p
**/
