1000 11
A	B	C	D	E	F	G	H	I	J	Class
r	aa	b	v	by	r	ct	al	cv	u	c9
bj	d	an	bq	k	i	j	q	at	bz	c15
al	cj	cu	ai	s	bk	z	g	bf	bs	c6
x	j	ae	y	l	a	ag	bq	av	bt	c2
bj	am	by	v	z	ai	cc	ag	n	cc	c11
ax	a	ae	l	cf	ce	r	bk	p	bh	c13
j	ap	f	bh	ba	cq	au	h	i	ci	c12
ad	cf	ac	cf	d	a	ag	ba	ae	at	c2
cc	g	cl	ay	t	cq	cj	bl	i	j	c12
bo	bt	ae	cs	d	ce	bx	cj	ce	ab	c13
cm	ar	ae	bn	v	ce	ar	bv	s	bq	c13
y	cd	ae	ag	az	al	x	at	av	af	c7
ax	ai	w	ab	cq	au	cb	bk	ad	m	c8
bp	bi	cp	n	l	af	bt	c	cb	ax	c4
m	r	aw	cf	ck	al	s	x	i	af	c7
ai	co	cc	ac	bz	af	b	bx	cb	aa	c4
cj	au	cb	ba	af	af	cr	bj	cb	z	c4
ai	cb	f	cn	cc	al	u	bk	av	af	c7
a	ck	az	cd	cp	au	v	bg	bd	m	c8
n	aw	bc	ar	bi	bd	aq	cc	ba	l	c5
ao	au	ao	ak	ab	af	cp	bx	cb	bl	c4
bk	j	ci	ap	g	bx	ab	cj	u	x	c10
bq	v	af	an	bv	bk	p	g	cm	br	c6
j	s	c	av	aa	ac	cf	bp	bs	as	c3
cq	b	cj	t	am	bk	bu	g	v	cl	c6
cn	ao	cl	cv	bb	r	ab	am	cj	u	c9
y	ad	d	ce	d	al	br	ai	s	af	c7
af	by	cm	bt	br	a	ag	cr	cl	cr	c2
bt	cq	cc	bf	by	bd	d	cc	bz	ca	c5
be	ae	cn	cs	d	al	q	as	d	af	c7
at	aw	an	cr	b	af	cd	aw	cb	i	c4
bc	c	ao	at	au	a	ag	t	ck	w	c2
bl	v	af	cu	i	r	bi	i	o	u	c9
am	ci	cd	bi	al	bp	cl	bd	bo	bw	c14
aw	ab	ae	f	as	ce	u	bo	l	ae	c13
bo	as	ck	by	bk	al	br	ag	bt	af	c7
bj	cc	ap	bn	f	ai	ct	ai	o	at	c11
bj	by	v	ca	bk	ai	i	cm	q	h	c11
bj	bl	l	z	aw	i	ak	au	br	cj	c15
cb	s	cf	cp	cq	a	ag	cu	bs	z	c2
j	s	z	cj	ck	ac	bj	ce	n	ac	c3
cu	v	w	ac	t	bk	cr	g	r	cl	c6
b	av	am	j	bf	a	ag	ab	ad	ci	c2
cc	o	cd	i	bz	bx	ab	cj	bp	aj	c10
cm	f	at	x	aa	r	cd	cp	bq	u	c9
bj	cd	be	cm	bn	ai	at	ck	by	bt	c11
bo	bs	bv	bz	ak	r	u	x	ac	u	c9
ce	cc	aj	ae	aj	cq	am	bp	i	bn	c12
j	bf	aj	h	ct	ac	cm	ak	bq	i	c3
